,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Name,sub_catagory,description,catagory
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tex Mex Veggie Burrito ,healthy,"Key Ingredients: For Veggie Burrito: , guacamole, jalapeno, mix greens, wheat tortilla (warm), brown rice, corn , refried beans, onion, cilantro, roughly chopped paneer, cilantro, mango puree, chipotle sauce, tomato, cilantro, lemon, Salt",
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Summer Squash Salad ,healthy,"Key Ingredients: white balsamic vinegar, lemon juice, lemon rind, Red chillies, Garlic cloves (crushed), olive oil, summer squash (zucchini), sea salt, black pepper, basil leaves",
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Chicken Minced Salad ,healthy,"Key Ingredients: olive oil, chicken mince, garlic (minced), onion, salt, black pepper, carrot, cabbage, green onions, sweet chilli sauce, peanut butter, ginger, soy sauce, fresh cilantro, red pepper flakes (crushed), tarts",
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Sweet Chilli Almonds ,healthy,"Key Ingredients: almonds whole, egg white, curry leaves, salt, sugar (fine grain), red chilli powder",
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Tricolour Salad ,healthy,"Key Ingredients: vinegar, honey/sugar, soy sauce, salt, garlic cloves (minced), chilli pepper (sliced), green papaya, carrot (peeled), cucumbers, mint leaves, toasted peanuts",
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Sakkarai Pongal ,healthy,"Key Ingredients: rice, yellow moong dal, milk, jaggery, cashewnuts, raisin, cardamom, ghee, coconut",
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Gulab Badam Chikki ,healthy,"Key Ingredients: butter, sugar, salt, almonds, dry rose petal",
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Zucchini Halwa ,healthy,"Key Ingredients: zucchini, full fat milk, ghee, cardamom powder, sugar, khoya, cherry and kesari malai",
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,Gluten-Free Christmas Cake ,healthy,"Key Ingredients: Christmas dry fruits (pre-soaked), orange zest, lemon zest, jaggery syrup, almond flour, apple, butter (softened), eggs",
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Japanese Curry Arancini With  Barley Salsa ,healthy,"Key Ingredients: japanese curry, sticky rice, cheese inside rice, barley salsa, wasabi mayo, red capsicum cube (cut), yellow capsicum cube (cut), green capsicum cube (cut), green chily, barley, butter, white pepper, light soya, salt",
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Chocolate Nero Cookies ,healthy,"Key Ingredients: almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar",
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,Lamb And Chargrilled Bell Pepper Soup ,healthy,"Key Ingredients: lamb bones (preferably shank and shoulder), onions, celery, ginger, garlic, carrot, chargrilled red/yellow/green bell peppers (quartered), whole spices mix (black pepper, cinnamon, cardamom, clove, bay leaf), salt, water (warm), oil (sunflower or olive",
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,Cream Of Almond Soup ,healthy,"Key Ingredients: vegetable stock, skimmed milk, toasted almonds (powdered), butter, flour, salt and pepper, nutmeg, almond essence, toasted almond flakes",
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,Broccoli And Almond Soup ,healthy,"Key Ingredients: vegetable stock, broccoli, ground almonds (toasted), skimmed milk, salt, freshly ground black pepper",
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,Coconut Lime Quinoa Salad ,healthy,"Key Ingredients: uncooked quinoa, water, red onion, cucumber (diced), purple cabbage, avocado (ripened and diced), orange, shelled edamame (defrosted), unsweetened toasted coconut flakes, almonds, Few shakes of black pepper, For the dressing:, orange juice, lime (juiced), apple cider vinegar, olive oil",
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,Strawberry Parfait ,healthy,"Key Ingredients: muesli, curd, strawberry puree, honey, maple syrup",
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,Lemon Honey Glazed Sous Vide Corn On The Cob ,healthy,"Key Ingredients: young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer",
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,Gucchi Mussallam ,healthy,"Key Ingredients: morels, khoya pindi, cheese , saffron, cashew nut, onion, cardamom powder, garam masala, desi ghee, fresh cream, green chilli, ginger, garlic, salt",
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,Subz Badam Ka Shorba ,healthy,"Key Ingredients: carrot, beans, cauliflower, green peas, onion, ginger, garlic, cooking oil, khada masala, dhania green, almond, salt",
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,Watermelon And Strawberry Smoothie ,healthy,"Key Ingredients: fresh strawberries, honey, low fat yogurt, watermelon, chia seeds",
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,"Peach, Raspberry And Nuts Smoothie ",healthy,"Key Ingredients: fresh raspberries, ripe banana, almond, fresh peach slices, low fat yogurt, Fresh raspeberry, Peach fruit slices, almonds",
